<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	<OPENINT>
Башнефт ап	D	20111118	000000	1375	1375	1315	1325	7397	0
Башнефт ап	D	20111121	000000	1325	1345	1275	1290	3787	0
Башнефт ап	D	20111122	000000	1290	1305	1275	1280	5999	0
Башнефт ап	D	20111123	000000	1270	1277.5	1259	1260	4335	0
Башнефт ап	D	20111124	000000	1260	1265	1250	1256	691	0
Башнефт ап	D	20111125	000000	1250.1	1255	1231	1241.3	902	0
Башнефт ап	D	20111128	000000	1250.5	1260	1230	1241	7922	0
Башнефт ап	D	20111129	000000	1235	1235	1175.5	1175.5	10074	0
Башнефт ап	D	20111130	000000	1209.8	1219	1190.1	1210	4134	0
Башнефт ап	D	20111201	000000	1218.5	1234.9	1203.1	1205	13475	0
Башнефт ап	D	20111202	000000	1205	1229	1205	1229	3761	0
Башнефт ап	D	20111205	000000	1215	1225	1210.5	1215	2891	0
Башнефт ап	D	20111206	000000	1205.1	1245	1191	1199.3	3946	0
Башнефт ап	D	20111207	000000	1209.9	1210	1185	1190	6568	0
Башнефт ап	D	20111208	000000	1204.9	1210	1188.8	1190	4546	0
Башнефт ап	D	20111209	000000	1186.5	1207	1147.1	1161	11926	0
Башнефт ап	D	20111212	000000	1179.9	1189.9	1150.1	1152	2486	0
Башнефт ап	D	20111213	000000	1164.9	1165	1148.3	1150	4265	0
Башнефт ап	D	20111214	000000	1157.9	1170.5	1111	1111	11788	0
Башнефт ап	D	20111215	000000	1121.1	1130	1060	1095	24139	0
Башнефт ап	D	20111216	000000	1097.5	1109	1094.1	1097.5	8716	0
Башнефт ап	D	20111219	000000	1090	1100	1064	1069.9	9672	0
Башнефт ап	D	20111220	000000	1062.1	1071.9	1044.7	1052.5	13494	0
Башнефт ап	D	20111221	000000	1052.5	1065	1040	1043.5	9490	0
Башнефт ап	D	20111222	000000	1049.8	1070	1045.3	1057.5	14407	0
Башнефт ап	D	20111223	000000	1064.9	1080	1052	1059.5	12739	0
Башнефт ап	D	20111226	000000	1060	1085	1056.3	1070	9527	0
Башнефт ап	D	20111227	000000	1074.9	1092	1060	1070	27855	0
Башнефт ап	D	20111228	000000	1070	1085	1061	1065	9490	0
Башнефт ап	D	20111229	000000	1064.8	1075	1050.7	1070	6950	0
Башнефт ап	D	20111230	000000	1072.5	1080	1060.5	1071	5308	0
Башнефт ап	D	20120103	000000	1079.6	1099.5	1075	1095	2529	0
Башнефт ап	D	20120104	000000	1099.7	1139.7	1096.1	1117	1294	0
Башнефт ап	D	20120105	000000	1120	1120	1116	1119.9	3420	0
Башнефт ап	D	20120106	000000	1116	1139.7	1116	1132.6	3620	0
Башнефт ап	D	20120109	000000	1138	1154	1130	1141	4946	0
Башнефт ап	D	20120110	000000	1148	1158.9	1140	1145	9015	0
Башнефт ап	D	20120111	000000	1146	1154	1141	1146.9	11178	0
Башнефт ап	D	20120112	000000	1147	1156.9	1143.2	1145	14012	0
Башнефт ап	D	20120113	000000	1147.4	1168.7	1147.4	1154.9	27974	0
Башнефт ап	D	20120116	000000	1150	1195	1150	1190	6638	0
Башнефт ап	D	20120117	000000	1189.9	1219.5	1189.9	1215.1	13470	0
Башнефт ап	D	20120118	000000	1215	1227.2	1210.5	1225.9	16449	0
Башнефт ап	D	20120119	000000	1223	1250	1223	1236.9	10533	0
Башнефт ап	D	20120120	000000	1322.5	1322.5	1223	1225	13137	0
Башнефт ап	D	20120123	000000	1225	1227	1210.2	1214	4944	0
Башнефт ап	D	20120124	000000	1213.9	1217	1207.5	1210.9	11087	0
Башнефт ап	D	20120125	000000	1211	1220.5	1209.2	1214.9	30570	0
